sample,grain_number,AFT_age,AFT_age_1sigma,AFT_age_stderr_min,AFT_age_stderr_plus,Dpar
E55,,31.4256019358081,11.31,11.31,11.31,1.22
E55,,5.06099082704784,15.13,15.13,15.13,1.2
E55,,31.2748832124816,6.81,6.81,6.81,1.21
E55,,39.9223247145334,16.46,16.46,16.46,1.24
E55,,35.2719908170427,20.47,20.47,20.47,1.41
E60,,11.1490507145378,7.91,7.91,7.91,1.18
E60,,77.6573695022206,39.12,39.12,39.12,1.28
E60,,32.687393667215,10.54,10.54,10.54,1.33
E60,,3.40534339819682,10.2,10.2,10.2,1.35
E60,,23.8660860106659,9.23,9.23,9.23,1.25
E60,,25.1248472587404,6.92,6.92,6.92,1.24
E60,,21.3562586998536,9.62,9.62,9.62,1.17
E60,,1.58882805961456,1.59,1.59,1.59,1.16
E60,,7.01463068364076,4.98,4.98,4.98,1.32
E60,,24.8306827025501,24.9,24.9,24.9,1.25
E60,,28.4562666865599,16.54,16.54,16.54,1.28
E60,,19.574401147489,11.35,11.35,11.35,1.3
E60,,33.7016810898643,10.44,10.44,10.44,1.33
E60,,3.13772110874998,2.23,2.23,2.23,1.2
E60,,1.19218330904353,3.59,3.59,3.59,1.22
E60,,64.4099624434999,17.12,17.12,17.12,1.11
E60,,10.5215119986312,31.4,31.4,31.4,1.08
E60,,7.14944472244015,7.16,7.16,7.16,1.34
E60,,21.9200454375884,5.66,5.66,5.66,1
E60,,12.2941620164639,4.41,4.41,4.41,1.38
E60,,41.5247892145239,14.8,14.8,14.8,1.43
E60,,50.1432905941182,16.11,16.11,16.11,1.46
E65,,12.8172823750403,12.86,12.86,12.86,1.3
E65,,5.41325044945505,16.19,16.19,16.19,1.24
E65,,5.33044302309299,15.96,15.96,15.96,1.08
E65,,24.6652168660866,6.14,6.14,6.14,1.36
E65,,22.9567180775875,13.35,13.35,13.35,1.23
E65,,9.38326426315782,28.08,28.08,28.08,1.38
E65,,2.03943960555399,6.13,6.13,6.13,1.1
E65,,42.9556074004345,24.96,24.96,24.96,1.21
E65,,6.75732671009406,4.77,4.77,4.77,1.61
E65,,47.378979689155,23.82,23.82,23.82,1.35
E65,,7.54412758544533,5.36,5.36,5.36,1.13
E65,,36.6280272891236,21.28,21.28,21.28,1.31
E65,,11.6595850676009,3.01,3.01,3.01,1.24
E65,,22.7312466071568,11.46,11.46,11.46,1.17
E65,,15.5409767182829,15.56,15.56,15.56,1.33
E65,,26.9576705298176,27.01,27.01,27.01,1.53
E65,,68.5288375775165,22.01,22.01,22.01,1.4
E65,,12.7499570736028,12.76,12.76,12.76,1.14
E65,,33.2018129667643,12.72,12.72,12.72,1.41
E65,,29.3834212190572,8.35,8.35,8.35,1.5
E65,,6.6625526964237,4.75,4.75,4.75,1.29
E65,,2.99199223376972,8.97,8.97,8.97,1.18
E65,,7.74099044612247,1.58,1.58,1.58,1.58
E65,,28.9745125950267,8.91,8.91,8.91,1.03
E65,,8.82757718535311,4.01,4.01,4.01,1.28
E65,,14.9138248123749,8.67,8.67,8.67,1.11
E65,,35.2380099300538,35.38,35.38,35.38,1.39
E65,,6.15518762073642,4.37,4.37,4.37,1.44
E65,,8.2661822812189,3.74,3.74,3.74,1.19
E65,,14.2694714485029,10.15,10.15,10.15,1.12
E65,,1.80620730680606,5.41,5.41,5.41,1.23
E65,,12.3777368261607,4.2,4.2,4.2,1.11
E65,,15.562955301422,5.94,5.94,5.94,1.31
E65,,14.9598017672096,6.82,6.82,6.82,1.24
E65,,6.81504389458406,6.84,6.84,6.84,1.4
E65,,10.7269201039936,6.25,6.25,6.25,1.13
E65,,16.1550875090116,6.72,6.72,6.72,1.31
E65,,21.625435921037,21.71,21.71,21.71,1.15
E65,,59.1474646586195,42.08,42.08,42.08,1.27
E65,,13.7732591276423,4.1,4.1,4.1,1.17
E65,,9.8288629423422,3.2,3.2,3.2,1.28
E65,,7.44004087452173,2.52,2.52,2.52,1.27
E65,,15.3058283272759,6.33,6.33,6.33,1.37
E65,,12.3402644105708,4.82,4.82,4.82,1.23
E65,,10.0320605750611,10.06,10.06,10.06,1.37
E65,,10.6219996974228,2.05,2.05,2.05,1.3
E65,,11.7745569076905,5.94,5.94,5.94,1.32
E70b,,6.54289520680987,3.01,3.01,3.01,1.36
E70b,,34.8771343677377,8.81,8.81,8.81,1.36
E70b,,23.3281783073273,8.65,8.65,8.65,1.43
E70b,,24.9714339331085,8.33,8.33,8.33,1.51
E70b,,18.9278430964104,5.83,5.83,5.83,1.44
E70b,,26.4573401324024,8.87,8.87,8.87,1.4
E70b,,14.6080490365524,5.11,5.11,5.11,1.4
E70b,,22.0590456647316,6.77,6.77,6.77,1.43
E70b,,19.2349517456946,5.72,5.72,5.72,1.52
E70b,,27.4788377468274,7.11,7.11,7.11,1.37
E70b,,24.4200218182027,9.62,9.62,9.62,1.42
E70b,,18.7237741934055,6.23,6.23,6.23,1.29
E70b,,30.7718211442222,12.07,12.07,12.07,1.4
E70b,,14.3407275221338,3.7,3.7,3.7,1.54
E70b,,14.0168022307451,3.91,3.91,3.91,1.26
E70b,,20.2572930265962,5.86,5.86,5.86,1.44
E70b,,27.1532742421168,9.09,9.09,9.09,1.38
E70b,,22.4202557798164,6.42,6.42,6.42,1.6
E70b,,21.1829790586229,5.74,5.74,5.74,1.56
E70b,,7.8620415272202,2.5,2.5,2.5,1.38
E70b,,16.3410966362231,4.34,4.34,4.34,1.52
E70b,,13.0438429940256,4.6,4.6,4.6,1.36
E70b,,17.8302679082781,6.55,6.55,6.55,1.53
E70b,,21.8929121948203,8.11,8.11,8.11,1.31
E70b,,22.0358923381243,8.18,8.18,8.18,1.24
E70b,,34.2928654296602,9.3,9.3,9.3,1.27
E70b,,27.0289786970609,8.34,8.34,8.34,1.41
E70b,,35.2034650555926,11.23,11.23,11.23,1.36
E70b,,18.0732999717532,6.67,6.67,6.67,1.39
E70b,,19.7106184503855,4.36,4.36,4.36,1.6
E70b,,33.4727944443161,7.64,7.64,7.64,1.56
E70b,,20.7942476968537,6.39,6.39,6.39,1.48
E70b,,29.0058641144953,7.51,7.51,7.51,1.42
E70b,,13.6865153634624,4.38,4.38,4.38,1.58
E70b,,27.8852727046672,6.82,6.82,6.82,1.28
E70b,,41.8280252542316,10.17,10.17,10.17,1.47
E70b,,17.9613826237564,7.08,7.08,7.08,1.46
