well,sample,depth,n_grains,AFT_age,AFT_age_stderr_plus,AFT_age_stderr_min,AFT_age_min_95ci,AFT_age_plus_95ci,aft_age_stdev,P_X2,data_type,length_mean,length_std,n_lengths,Dpar_mean,Dpar_min,Dpar_max,ref
Lindau,La8,1625,60,13.8,1.1734693877551,1.37755102040816,2.3,2.7,,0,central_age,,,,,,,Cederbom2011
Lindau,La10,2374,30,3.2,0.35714285714286,0.45918367346939,0.7,0.9,,1,central_age,,,,,,,Cederbom2011
Linden,LE2,607,40,26.8,2.04081632653061,2.44897959183673,4,4.8,,0,central_age,,,,,,,Cederbom2011
Linden,LE3,955,40,26.9,1.73469387755102,1.98979591836735,3.4,3.9,,1,central_age,,,,,,,Cederbom2011
Linden,LE4,1288,41,33.5,2.29591836734694,2.6530612244898,4.5,5.2,,0,central_age,,,,,,,Cederbom2011
Linden,LE5,1687,41,25.1,1.73469387755102,1.98979591836735,3.4,3.9,,0,central_age,,,,,,,Cederbom2011
Linden,LE6,1977,37,19.6,1.42857142857143,1.68367346938776,2.8,3.3,,0,central_age,,,,,,,Cederbom2011
Linden,LE7,2329,21,9.2,1.12244897959184,1.42857142857143,2.2,2.8,,16,central_age,,,,,,,Cederbom2011
Romanens,R3,762,32,33.1,4.8469387755102,6.73469387755102,9.5,13.2,,0,central_age,,,,,,,Cederbom2011
Romanens,R4,1107,20,35.7,4.89795918367347,6.73469387755102,9.6,13.2,,0,central_age,,,,,,,Cederbom2011
Romanens,R5,1346,25,27.7,4.08163265306122,5.66326530612245,8,11.1,,0,central_age,,,,,,,Cederbom2011
Romanens,R6,1790,32,16,1.78571428571429,2.24489795918367,3.5,4.4,,0,central_age,,,,,,,Cederbom2011
Romanens,R7,2100,19,10.2,1.42857142857143,1.98979591836735,2.8,3.9,,0,central_age,,,,,,,Cederbom2011
Savigny_t,Sa2,350,2,35.4,3.87755102040816,4.89795918367347,7.6,9.6,,23,central_age,,,,,,,Cederbom2011
Savigny_t,Sa3,555,20,32.8,3.87755102040816,4.03061224489796,7.6,7.9,,0,central_age,,,,,,,Cederbom2011
Savigny_t,Sa5,850,15,39,4.18367346938776,5.25510204081633,8.2,10.3,,5,central_age,,,,,,,Cederbom2011
Savigny,Sa6,1060,8,27.5,5.66326530612245,9.54081632653061,11.1,18.7,,0,central_age,,,,,,,Cederbom2011
Savigny,Sa7,1300,31,30.8,3.8265306122449,5.10204081632653,7.5,10,,0,central_age,,,,,,,Cederbom2011
Savigny,Sa8,1540,27,26.5,2.95918367346939,3.8265306122449,5.8,7.5,,0,central_age,,,,,,,Cederbom2011
Savigny,Sa9,1755,3,35.2,10.765306122449,26.734693877551,21.1,52.4,,1,central_age,,,,,,,Cederbom2011
Savigny,Sa10,1980,26,10.5,1.37755102040816,1.78571428571429,2.7,3.5,,1,central_age,,,,,,,Cederbom2011
Savigny,Sa11,2037,5,11.6,2.5,4.23469387755102,4.9,8.3,,78,central_age,,,,,,,Cederbom2011
Thun,Th2,590,40,26.4,1.58163265306122,1.83673469387755,3.1,3.6,,32,central_age,,,,,,,Cederbom2011
Thun,Th4,1207,40,30.6,2.14285714285714,2.5,4.2,4.9,,0,central_age,,,,,,,Cederbom2011
Thun,Th5,1500,40,18.7,1.73469387755102,2.14285714285714,3.4,4.2,,0,central_age,,,,,,,Cederbom2011
Thun,Th6,1806,40,27.4,2.44897959183673,2.95918367346939,4.8,5.8,,0,central_age,,,,,,,Cederbom2011
Thun,Th7,2095,42,24.6,3.21428571428571,4.33673469387755,6.3,8.5,,0,central_age,,,,,,,Cederbom2011
Thun,Th8,2394,60,10.7,1.73469387755102,2.5,3.4,4.9,,0,central_age,,,,,,,Cederbom2011
Tuggen,Tg2+3,439,46,22.6,3.26530612244898,4.54081632653061,6.4,8.9,,0,central_age,,,,,,,Cederbom2011
Tuggen,Tg11,940,14,20.7,3.06122448979592,4.33673469387755,6,8.5,,1,central_age,,,,,,,Cederbom2011
Tuggen,Tg15,1476,6,19,6.12244897959184,16.6326530612245,12,32.6,,0,central_age,,,,,,,Cederbom2011
MRP025,MRP025,0,23,43.28,6.89,6.89,13.5044,13.5044,6.89,,central_age,,,,,,,"Rahn. unpubl."
MRP067,MRP067,0,20,14.6,1.56,1.56,3.0576,3.0576,1.56,,central_age,,,,,,,"Rahn. unpubl."
MRP087,MRP087,0,40,55.9,6.1,6.1,11.956,11.956,6.1,,central_age,,,,,,,"Rahn. unpubl."
MRP117,MRP117,0,40,33.23,2.27,2.27,4.4492,4.4492,2.27,,central_age,,,,,,,"Rahn. unpubl."
MRP170,MRP170,0,40,35.9,1.9,1.9,3.724,3.724,1.9,,central_age,,,,,,,"Rahn. unpubl."
MRP172,MRP172,0,23,28.5,2,2,3.92,3.92,2,,central_age,,,,,,,"Rahn. unpubl."
MRP174,MRP174,0,24,15,1,1,1.96,1.96,1,,central_age,,,,,,,"Rahn. unpubl."
MRP179,MRP179,0,23,9.8,1.4,1.4,2.744,2.744,1.4,,central_age,,,,,,,"Rahn. unpubl."
MRP187,MRP187,0,40,26,1.2,1.2,2.352,2.352,1.2,,central_age,,,,,,,"Rahn. unpubl."
MRP198,MRP198,0,40,26.9,1.2,1.2,2.352,2.352,1.2,,central_age,,,,,,,"Rahn. unpubl."
MRT052,MRT052,0,40,47.07,5.2,5.2,10.192,10.192,5.2,,central_age,,,,,,,"Rahn et al.. 1997"
E05,E05,0,15,10.2,2.75,2.75,5.39,5.39,2.75,,central_age,,,,1.24,,,"von Hagke et al 2012"
E10,E10,0,34,12.3,2.25,2.25,4.41,4.41,2.25,,central_age,,,,1.4,,,"von Hagke et al 2012"
E20,E20,0,32,8.6,0.9,0.9,1.764,1.764,0.9,,central_age,,,,1.26,,,"von Hagke et al 2012"
E30,E30,0,32,10.3,1.11,1.11,2.1756,2.1756,1.11,,central_age,,,,1.4,,,"von Hagke et al 2012"
E35,E35,0,19,11,1.76,1.76,3.4496,3.4496,1.76,,central_age,,,,1.24,,,"von Hagke et al 2012"
E40,E40,0,19,10.3,1.91,1.91,3.7436,3.7436,1.91,,central_age,,,,1.23,,,"von Hagke et al 2012"
E45,E45,0,27,12.1,1.76,1.76,3.4496,3.4496,1.76,,central_age,,,,1.32,,,"von Hagke et al 2012"
E50,E50,0,24,8.08,1.49,1.49,2.9204,2.9204,1.49,,central_age,,,,1.18,,,"von Hagke et al 2012"
E55,E55,0,27,24.4,3.23,3.23,6.3308,6.3308,3.23,,central_age,,,,1.26,,,"von Hagke et al 2012"
E60,E60,0,23,23.2,3.92,3.92,7.6832,7.6832,3.92,,central_age,,,,1.25,,,"von Hagke et al 2012"
E65,E65,0,55,15.8,1.64,1.64,3.2144,3.2144,1.64,,central_age,,,,1.3,,,"von Hagke et al 2012"
E70b,E70b,0,40,21.9,1.24,1.24,2.4304,2.4304,1.24,,central_age,,,,1.42,,,"von Hagke et al 2012"
RH05,RH05,0,37,14.5,3.5,3.5,6.86,6.86,3.5,,central_age,,,,1.28,,,"von Hagke et al 2012"
RH10,RH10,0,39,9.11,1.75,1.75,3.43,3.43,1.75,,central_age,,,,1.18,,,"von Hagke et al 2012"
RH15,RH15,0,16,6.98,2.52,2.52,4.9392,4.9392,2.52,,central_age,,,,1.32,,,"von Hagke et al 2012"
RH25,RH25,0,6,4.64,3.93,3.93,7.7028,7.7028,3.93,,central_age,,,,1.14,,,"von Hagke et al 2012"
RH30a,RH30a,0,26,16.5,1.35,1.35,2.646,2.646,1.35,,central_age,,,,1.29,,,"von Hagke et al 2012"
RH30b,RH30b,0,25,8.72,1.02,1.02,1.9992,1.9992,1.02,,central_age,,,,1.17,,,"von Hagke et al 2012"
RH35,RH35,0,11,17.7,5.15,5.15,10.094,10.094,5.15,,central_age,,,,1.4,,,"von Hagke et al 2012"
RH40,RH40,0,13,13,5.35,5.35,10.486,10.486,5.35,,central_age,,,,1.28,,,"von Hagke et al 2012"
RH45,RH45,0,40,22.8,2.93,2.93,5.7428,5.7428,2.93,,central_age,,,,1.25,,,"von Hagke et al 2012"
RH50,RH50,0,27,49.8,9.62,9.62,18.8552,18.8552,9.62,,central_age,,,,1.38,,,"von Hagke et al 2012"
RH60c,RH60c,0,6,3.79,1.83,1.83,3.5868,3.5868,1.83,,central_age,,,,1.16,,,"von Hagke et al 2012"
RH65,RH65,0,16,27.4,4.83,4.83,9.4668,9.4668,4.83,,central_age,,,,1.29,,,"von Hagke et al 2012"
RH70,RH70,0,34,12.2,1.43,1.43,2.8028,2.8028,1.43,,central_age,,,,1.39,,,"von Hagke et al 2012"
RV15,RV15,0,12,27.9,12.8,12.8,25.088,25.088,12.8,,central_age,,,,1.1,,,"von Hagke et al 2012"
RV20,RV20,0,21,17.6,7.3,7.3,14.308,14.308,7.3,,central_age,,,,1.18,,,"von Hagke et al 2012"
RV25,RV25,0,18,17.1,6.15,6.15,12.054,12.054,6.15,,central_age,,,,1.24,,,"von Hagke et al 2012"
RV30a,RV30a,0,30,15.6,4.46,4.46,8.7416,8.7416,4.46,,central_age,,,,1.23,,,"von Hagke et al 2012"
RV30b,RV30b,0,27,17.5,4.82,4.82,9.4472,9.4472,4.82,,central_age,,,,1.5,,,"von Hagke et al 2012"
RV30c,RV30c,0,27,23,3.61,3.61,7.0756,7.0756,3.61,,central_age,,,,1.39,,,"von Hagke et al 2012"
B10,B10,0,,18.6,1.74,1.74,3.4104,3.4104,1.74,,central_age,,,,,,,von_Hagke_etal2014
B25,B25,0,,23.5,9.65,9.65,18.914,18.914,9.65,,central_age,,,,,,,von_Hagke_etal2014
B30,B30,0,,96.4,17.7,17.7,34.692,34.692,17.7,,central_age,,,,,,,von_Hagke_etal2014
B55,B55,0,,23.5,3.77,3.77,7.3892,7.3892,3.77,,central_age,,,,,,,von_Hagke_etal2014
B60,B60,0,,55.4,10.8,10.8,21.168,21.168,10.8,,central_age,,,,,,,von_Hagke_etal2014
