well,depth,VR,VR_unc_1sigma,N_observations
WAA-01,1550,0.4799999893,,
WAA-01,1630,0.4300000072,,
WAA-01,1650,0.4300000072,,
WAA-01,1660,0.4300000072,,
WAA-01,1750,0.4900000095,,
WAA-01,1850,0.4699999988,,
WAA-01,1950,0.5199999809,,
WAA-01,2050,0.4699999988,,
WAA-01,2150,0.4900000095,,
WAA-01,2250,0.5600000024,,
WAA-01,2350,0.5600000024,,
WAA-01,2450,0.6100000143,,
WAA-01,2550,0.6000000238,,
WAA-01,2650,0.6000000238,,
WAA-01,2750,0.5799999833,,
WAA-01,2850,0.6499999762,,
WAA-01,2950,0.6600000262,,
WAA-01,3052,0.7200000286,,
WAA-01,3200,1.5099999905,,
WAA-01,3250,1.2799999714,,
WAA-01,3285,1.1900000572,,
WAA-01,3320,1.2899999619,,
WWK-01x,1081,0.400000006,,
WWK-01x,1200,0.3400000036,,
WWK-01x,1460,0.8999999762,,
WWK-01x,1574,0.349999994,,
WWK-01x,1690,0.4900000095,,
WWK-01x,1804,0.4300000072,,
WWK-01x,1915,0.4699999988,,
WWK-01x,2027,0.4600000083,,
WWK-01x,2222,0.4499999881,,
WWK-01x,2237,0.4699999988,,
WWK-01x,2242,0.4199999869,,
WWK-01x,2245,0.4099999964,,
WWK-01x,2358,0.4900000095,,
WWK-01x,2458,0.5199999809,,
WWK-01x,2591,0.4600000083,,
WWK-01x,2666,0.5600000024,,
WWK-01,1092.6600341797,0.400000006,,
WWK-01,1208.1500244141,0.3400000036,,
WWK-01,1467.9200439453,0.8999999762,,
WWK-01,1582.0300292969,0.349999994,,
WWK-01,1698.0100097656,0.4900000095,,
WWK-01,1811.5300292969,0.4300000072,,
WWK-01,1923.0600585938,0.4699999988,,
WWK-01,2034.6500244141,0.4600000083,,
WWK-01,2230.2099609375,0.4499999881,,
WWK-01,2249.7099609375,0.4699999988,,
WWK-01,2256.7099609375,0.4199999869,,
WWK-01,2253.8400878906,0.4099999964,,
WWK-01,2367.1298828125,0.4900000095,,
WWK-01,2488.580078125,0.5199999809,,
WWK-01,2601.0900878906,0.4600000083,,
WWK-01,2676.7800292969,0.5600000024,,
WWK-02,644,0.3300000131,,
WWK-02,700,0.2800000012,,
WWK-02,754,0.3700000048,,
WWK-02,807,0.2700000107,,
WWK-02,860,0.2899999917,,
WWK-02,911,0.2700000107,,
WWK-02,1012,0.349999994,,
WWK-02,1063,0.3600000143,,
WWK-02,1113,0.3700000048,,
WWK-02,1215,0.3100000024,,
WWK-02,1386,0.3300000131,,
WWK-02,1472,0.3300000131,,
WWK-02,1557,0.3400000036,,
WWK-02,1600,0.3400000036,,
WWK-02,1642,0.349999994,,
WWK-02,1685,0.349999994,,
WWK-02,1727,0.200000003,,
WWK-02,1777,0.3600000143,,
WWK-02,1812,0.3400000036,,
WWK-02,1855,0.2099999934,,
WWK-02,1897,0.4499999881,,
WWK-02,1939,0.400000006,,
WWK-02,1981,0.4499999881,,
WWK-02,2024,0.4799999893,,
WWK-02,2066,0.5,,
WWK-02,2124,0.4799999893,,
WWK-02,2450,0.5199999809,,
WWK-02,2191,0.5,,
WWK-02,2233,0.5099999905,,
WWK-02,2296,0.4600000083,,
WWK-02,2319,0.5099999905,,
WWK-02,2362,0.4699999988,,
WWK-02,2405,0.5199999809,,
WWK-02,2439,0.5199999809,,
WWK-02,2473,0.4900000095,,
WWK-02,2516,0.5799999833,,
WWK-02,1164,0.3300000131,,
WWS-01,1933,0.3799999952,,
WWS-01,673,0.2199999988,,
WWS-01,787,0.2399999946,,
WWS-01,898,0.25,,
WWS-01,1006,0.3199999928,,
WWS-01,1284,0.2700000107,,
WWS-01,1409,0.2899999917,,
WWS-01,1638,0.3100000024,,
WWS-01,1678,0.3000000119,,
WWS-01,1702,0.3199999928,,
WWS-01,1766,0.3799999952,,
WWS-01,1846,0.3100000024,,
WWS-01,2013,0.4300000072,,
WWS-01,2093,0.4499999881,,
WWS-01,2237,0.5199999809,,
WWS-01,2310,0.4900000095,,
WWS-01,2392,0.4600000083,,
WWS-01,2475,0.4199999869,,
WWS-01,2525,0.4699999988,,
WWS-01,2534,0.4699999988,,
WWS-01,2550,0.4600000083,,
WWS-01,2559,0.4499999881,,
WWS-01,697.8800048828,0.2199999988,0.0199999996,10
WWS-01,810.4099731445,0.2399999946,0.0500000007,10
WWS-01,918.3499755859,0.25,0.0199999996,7
WWS-01,1018.8699951172,0.3199999928,0.0199999996,9
WWS-01,1309.1600341797,0.2700000107,0.0199999996,56
WWS-01,1433.1700439453,0.2899999917,0.0599999987,33
WWS-01,1660.9699707031,0.3100000024,0.0199999996,56
WWS-01,1700.5,0.3000000119,0.0399999991,54
WWS-01,1724.3199462891,0.3199999928,0.0199999996,56
WWS-01,1787.7199707031,0.3799999952,0.0399999991,51
WWS-01,1868.0699462891,0.3100000024,0.0299999993,14
WWS-01,1955.4499511719,0.3799999952,0.1700000018,7
WWS-01,2033.2399902344,0.4300000072,0.1400000006,16
WWS-01,2113.919921875,0.4499999881,0.0500000007,20
WWS-01,2258.4799804688,0.3300000131,0.0799999982,12
WWS-01,2331.1201171875,0.4900000095,0.25,15
WWS-01,2412.3898925781,0.4600000083,0.1000000015,21
WWS-01,2494.9099121094,0.4199999869,0.200000003,8
WWS-01,2547.0500488281,0.4699999988,0.1099999994,15
WWS-01,2555.919921875,0.4699999988,0.1199999973,26
WWS-01,2573.8000488281,0.4600000083,0.1899999976,19
WWS-01,2582.7900390625,0.4499999881,0.0599999987,8
