well,depth_top,depth_bottom,strat_unit
BRT-01,1571.6147460938,1699.4200439453,KNGLL
BRT-01,1699.4200439453,1742.2844238281,KNNSL
BRT-01,1742.2844238281,1755.3596191406,KNNSY
BRT-01,1755.3596191406,1756.9940185547,KNNCA
BRT-01,1756.9940185547,2122.6833496094,SLDNA
BRT-01,2122.6833496094,2584.279296875,ATAL
BRT-01,2584.279296875,2584.279296875,FAULT
BRT-01,2584.279296875,2628.0249023438,RBMVL
BRT-01,2628.0249023438,2683.8903808594,RBSHR
BRT-01,2683.8903808594,2746.244140625,RBSHM
BRT-01,2746.244140625,2749.0715332031,ZEUC
BRT-01,2749.0715332031,2756.6140136719,ROSL
BRT-01,2756.6140136719,2997.2099609375,DCHS
BUM-01,0,120.0000076294,NUCT
BUM-01,120.0000076294,350,NUOT
BUM-01,350,747.9826049805,NUBA
BUM-01,747.9826049805,824.9774780273,NMVFO
BUM-01,824.9774780273,833.9765625,NMVFV
BUM-01,833.9765625,896.9702758789,NMRFC
BUM-01,896.9702758789,1146.6566162109,ATAL
BUM-01,1146.6566162109,1174.5949707031,ATRT
BUM-01,1174.5949707031,1189.5621337891,RNKPU
BUM-01,1189.5621337891,1204.498046875,RNKPD
BUM-01,1204.498046875,1209.4560546875,RNKPR
BUM-01,1209.4560546875,1237.2208251953,RNMUL
BUM-01,1209.4560546875,1238.2124023438,RNMUL
BUM-01,1237.2208251953,1281.8427734375,RNROY
BUM-01,1238.2124023438,1281.8427734375,RNROY
BUM-01,1281.8427734375,1320.3413085938,RNROF
BUM-01,1281.8427734375,1320.8332519531,RNROF
BUM-01,1320.8332519531,1366.5753173828,RNROL
BUM-01,1320.3413085938,1375.4284667969,RNROL
BUM-01,1366.5753173828,1375.4284667969,RNRO1
BUM-01,1375.4284667969,1384.2817382813,RNSOC
BUM-01,1375.4284667969,1384.2817382813,RNSOB
BUM-01,1384.2817382813,1397.5637207031,RBMH
BUM-01,1384.2817382813,1398.0574951172,RBMH
BUM-01,1398.0574951172,1418.7971191406,RBMDU
BUM-01,1397.5637207031,1419.2908935547,RBMDU
BUM-01,1418.7971191406,1423.7351074219,RBMDL
BUM-01,1419.2908935547,1423.7351074219,RBMDL
BUM-01,1423.7351074219,1533.5639648438,RBMVU
BUM-01,1533.5639648438,1571.2979736328,RBMVL
BUM-01,1571.2979736328,1726.599609375,RBSHR
BUM-01,1726.599609375,1926.3835449219,RBSHM
BUM-01,1926.3835449219,1940.380859375,ZEUC
BUM-01,1940.380859375,1964.3759765625,ZEZ4R
BUM-01,1964.3759765625,1966.3756103516,ZEZ3A
BUM-01,1726.599609375,1967.3753662109,RBSHM
BUM-01,1967.3753662109,1968.3752441406,ZEUC
BUM-01,1966.3756103516,1983.3721923828,ZEZ3C
BUM-01,1968.3752441406,1983.3721923828,ZEZ3C
BUM-01,1983.3721923828,1986.3715820313,ZEZ3G
BUM-01,1986.3715820313,2000.3664550781,ZEZ2M
BUM-01,2000.3664550781,2012.3592529297,ZEZ2F
BUM-01,1986.3715820313,2014.3580322266,ZEZ2M
BUM-01,2012.3592529297,2014.3580322266,ZEZ2R
BUM-01,2014.3580322266,2034.3460693359,ZEZ1M
BUM-01,2034.3460693359,2051.3359375,ZEZ1F
BUM-01,2034.3460693359,2055.3334960938,ZEZ1F
BUM-01,2051.3359375,2060.3305664063,ZEZ1G
BUM-01,2055.3334960938,2060.3305664063,ZEZ1G
BUM-01,2060.3305664063,2063.3286132813,ZEZ1E
BUM-01,2060.3305664063,2064.3278808594,ZEZ1K
BUM-01,2063.3286132813,2139.78125,ROSL
BUM-01,2064.3278808594,2139.78125,ROSL
BUM-01,2139.78125,2189.25,DCC
CAP-01,0,429.9899902344,NUCT
CAP-01,429.9899902344,515.9899902344,CKGR
CAP-01,515.9899902344,550.9899902344,CKTX
CAP-01,550.9899902344,722.4877319336,KNGLU
CAP-01,722.4877319336,779.9819946289,KNGLM
CAP-01,779.9819946289,821.9777832031,KNGLG
CAP-01,821.9777832031,1003.450012207,KNGLL
CAP-01,1003.450012207,1094.9499511719,KNNSL
CAP-01,1094.9499511719,1271.4427490234,KNNC
CAP-01,1271.4427490234,1359.9399414063,KNNSB
CAP-01,1359.9399414063,1453.9399414063,KNNSC
CAP-01,1453.9399414063,1481.9399414063,KNNSR
CAP-01,1481.9399414063,1887.4686279297,SLDNA
CAP-01,1887.4686279297,1897.7900390625,ATBRL
CAP-01,1897.7900390625,1962.1268310547,ATBR1
CAP-01,1962.1268310547,2136.4028320313,ATWDU
CAP-01,2136.4028320313,2197.8510742188,ATWDM
CAP-01,2197.8510742188,2418.8916015625,ATWDL
CAP-01,2418.8916015625,2445.5056152344,ATPO
CAP-01,2445.5056152344,2878.2998046875,ATAL
CAP-01,2878.2998046875,2908.5334472656,ATRT
CAP-01,2908.5334472656,2919.87109375,RNKPU
CAP-01,2919.87109375,2949.1599121094,RNKPD
CAP-01,2949.1599121094,2955.7937011719,RNKPR
CAP-01,2955.7937011719,2970.0092773438,RNMUA
CAP-01,2970.0092773438,2977.5908203125,RNMUE
CAP-01,2977.5908203125,3013.603515625,RNMUL
CAP-01,3013.603515625,3025.9235839844,RNROY
CAP-01,3025.9235839844,3058.3510742188,RNROF
CAP-01,3058.3510742188,3082.3859863281,RNROL
CAP-01,3082.3859863281,3091.0385742188,RNSOC
CAP-01,3091.0385742188,3101.6140136719,RNSOB
CAP-01,3101.6140136719,3109.3051757813,RBMDC
CAP-01,3109.3051757813,3116.9963378906,RBMDL
CAP-01,3116.9963378906,3158.435546875,RBMVU
CAP-01,3158.435546875,3201.9323730469,RBMVL
CAP-01,3201.9323730469,3286.9567871094,RBSHR
CAP-01,3286.9567871094,3376.7585449219,RBSHM
CAP-01,3376.7585449219,3391.2380371094,ZEUC
CAP-01,3391.2380371094,3404.7521972656,ZEZ1G
CAP-01,3404.7521972656,3413.4401855469,ROSL
CAP-01,3413.4401855469,3624.3701171875,DCHS
DON-01,0,155,NUCT
DON-01,155,363,NUOT
DON-01,363,500,NUBA
DON-01,500,525,NMVFO
DON-01,525,540,NMVFV
DON-01,540,666,NMRFC
DON-01,540,667,NMRFC
DON-01,666,691,NMRFV
DON-01,667,691,NMRFV
DON-01,691,735,NLFFB
DON-01,735,844,NLFFS
DON-01,844,985,NLFFY
DON-01,985,993,NLFFD
DON-01,993,1053,NLLFC
DON-01,993,1063,NLLFC
DON-01,1053,1063,NLLFG
DON-01,1063,1177,CK
DON-01,1063,1177,CKHM
DON-01,1177,1240,CKTX
DON-01,1240,1240,FAULT
DON-01,1240,1325,SLDNA
DON-01,1325,1355,ATBRL
DON-01,1355,1386,ATBR1
DON-01,1386,1431,ATWDU
DON-01,1431,1445,ATWDM
DON-01,1445,1483,ATWDL
DON-01,1483,1542,ATAL
EVD-01,0,743,NU
EVD-01,743,783,NMVFO
EVD-01,783,920.9957885742,NMRFC
EVD-01,920.9957885742,991.981628418,ATWDL
EVD-01,991.981628418,1005.9715576172,ATPO
EVD-01,1005.9715576172,1005.9715576172,FAULT
EVD-01,1005.9715576172,1080.3671875,ATAL
EVD-01,1080.3671875,1090.8525390625,ATRT
EVD-01,1090.8525390625,1098.8413085938,RNKPD
EVD-01,1098.8413085938,1102.8366699219,RNKPR
EVD-01,1102.8366699219,1127.8092041016,RNMUL
