strat_unit,age_bottom,age_top,marine,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal
NUVIG,13.5,13,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,0,0,0,0,0,1
NUBX,0.01,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.2,0.6,0.2,0,0,0,0,0,0
NUBE,0.78,0,FALSE,70,68,70,1,3.8,1.9,30,1,0.2,0.8,0,0,0,0,0,0,0,0
NUTEF,0,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.2,0.2,0.6,0,0,0,0,0,0
NUSY,1.81,0.13,FALSE,70,68,70,1,3.8,1.9,30,1,0.2,0.8,0,0,0,0,0,0,0,0
NUWA,2.6,0.13,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0.2,0,0,0,0,0,0,0
NUEN,0,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.8,0.1,0,0,0,0,0,0
NUKOU,0,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0.1,0.8,0,0,0,0,0,0.1
NUST,0.78,0.01,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.7,0.2,0.1,0,0,0,0,0,0
RNMU,240.7,237,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.025,0.225,0.225,0.2,0.15,0.175,0
ZEUC,253,251,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.3,0.6,0.05,0,0,0.05,0,0
ZEZ3C,256,253,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.05,0.15,0.35,0.35,0,0.1,0,0
