well,LAT_PALEO,EAR_EOC_YP,EAR_EOC_MY,EAR_EOC_LY,MID_EOC,LAT_EOC,EAR_OLIG,LAT_OLIG,EAR_MIOC,MID_MIOC,EAR_PLIOC,MID_QUART
Well130,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well131,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well132,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well133,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well134,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well135,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well136,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well137,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well138,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well139,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well140,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well141,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well142,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well143,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well144,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well145,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well146,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well147,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well148,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well149,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well150,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well151,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well152,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well153,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well154,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well155,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well156,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well157,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well158,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well159,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well160,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well161,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well162,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well163,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well164,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well165,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well166,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well167,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well168,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well169,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well170,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well171,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well172,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well173,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well174,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well175,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well176,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well177,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well178,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well179,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well180,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well181,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well182,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well183,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well184,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well185,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well186,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well187,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well188,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well189,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well190,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well191,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well192,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well193,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well194,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well195,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well196,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well197,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well198,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well199,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well200,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well201,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well202,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well203,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well204,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well205,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well206,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well207,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well208,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well209,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well210,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well211,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well212,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well213,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well214,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well215,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well216,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well217,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well218,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well219,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well220,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well221,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well222,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well223,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well224,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well225,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well226,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well227,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well228,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well229,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well230,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well231,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well232,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well233,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well234,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well235,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well236,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well237,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well238,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well239,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well240,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well241,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well242,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well243,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well244,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well245,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well246,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well247,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well248,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well249,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well250,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well251,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well252,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well253,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well254,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well255,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well256,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well257,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well258,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well259,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well260,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well261,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well262,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well263,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well264,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well265,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well266,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well267,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well268,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well269,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well270,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well271,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well272,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well273,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well274,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well275,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well276,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
