strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
-OSM_a_3,,,,-1.0,0.0,8.01,7.611,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_4,,,,-1.0,0.0,8.408999999999999,8.009999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_5,,,,-1.0,0.0,8.808,8.408999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_6,,,,-1.0,0.0,9.207,8.808,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_7,,,,-1.0,0.0,9.606,9.207,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_8,,,,-1.0,0.0,10.004999999999999,9.605999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_9,,,,-1.0,0.0,10.404,10.004999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_10,,,,-1.0,0.0,10.803,10.404,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_11,,,,-1.0,0.0,11.202,10.803,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_12,,,,-1.0,0.0,11.600999999999999,11.201999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_13,,,,-1.0,0.0,12.0,11.600999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
~+OSM_a_13--OSM_a_13,,,,0.0,0.0,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
+OSM_a_13,,,,1.0,0.0,13.303571428571429,13.0,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,60.54378419059373,0.0,100.0,0.0,100.0,0.0,100.0,100.0
+OSM_a_12,,,,1.0,0.0,13.607142857142858,13.303571428571429,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,62.559927179892924,0.0,100.0,100.0,200.0,100.0,200.0,100.0
+OSM_a_11,,,,1.0,0.0,13.910714285714285,13.607142857142856,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,64.47304882084651,0.0,100.0,200.0,300.0,200.0,300.0,100.0
+OSM_a_10,,,,1.0,0.0,14.214285714285715,13.910714285714286,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,66.28841332252665,0.0,100.0,300.0,400.0,300.0,400.0,100.0
+OSM_a_9,,,,1.0,0.0,14.517857142857142,14.214285714285714,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,68.01101590221293,0.0,100.0,400.0,500.0,400.0,500.0,100.0
+OSM_a_8,,,,1.0,0.0,14.821428571428571,14.517857142857142,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,69.64559653039831,0.0,100.0,500.0,600.0,500.0,600.0,100.0
+OSM_a_7,,,,1.0,0.0,15.125,14.821428571428571,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,71.19665297344943,0.0,100.0,600.0,700.0,600.0,700.0,100.0
+OSM_a_6,,,,1.0,0.0,15.428571428571429,15.125,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,72.66845316981016,0.0,100.0,700.0,800.0,700.0,800.0,100.0
+OSM_a_5,,,,1.0,0.0,15.732142857142858,15.428571428571429,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,74.06504697380218,0.0,100.0,800.0,900.0,800.0,900.0,100.0
+OSM_a_4,,,,1.0,0.0,16.035714285714285,15.732142857142856,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,75.39027729933957,0.0,100.0,900.0,1000.0,900.0,1000.0,100.0
+OSM_a_3,,,,1.0,0.0,16.339285714285715,16.03571428571429,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,76.6477906942178,0.0,100.0,1000.0,1100.0,1000.0,1100.0,100.0
+OSM_a_2,,,,1.0,0.0,16.642857142857142,16.339285714285715,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,77.841047374076,0.0,100.0,1100.0,1200.0,1100.0,1200.0,100.0
+OSM_a_1,,,,1.0,0.0,16.946428571428573,16.642857142857146,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,78.97333074364127,0.0,100.0,1200.0,1300.0,1200.0,1300.0,100.0
+OSM_a_0,,,,1.0,0.0,17.25,16.946428571428573,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,80.04775643145437,0.0,100.0,1300.0,1400.0,1300.0,1400.0,100.0
+OMM_a_9,,,,1.0,0.0,17.425,17.25,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,82.51208970503417,0.0,100.0,1400.0,1500.0,1400.0,1500.0,100.0
+OMM_a_8,,,,1.0,0.0,17.6,17.425,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,83.28469441308152,0.0,100.0,1500.0,1600.0,1500.0,1600.0,100.0
+OMM_a_7,,,,1.0,0.0,17.775,17.599999999999998,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,84.02316593855699,0.0,100.0,1600.0,1700.0,1600.0,1700.0,100.0
+OMM_a_6,,,,1.0,0.0,17.95,17.775,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,84.72901226366727,0.0,100.0,1700.0,1800.0,1700.0,1800.0,100.0
+OMM_a_5,,,,1.0,0.0,18.125,17.95,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,85.40367474892821,0.0,100.0,1800.0,1900.0,1800.0,1900.0,100.0
+OMM_a_4,,,,1.0,0.0,18.3,18.125,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,86.04853107646858,0.0,100.0,1900.0,2000.0,1900.0,2000.0,100.0
