timestep,time_bp,z_node_0,T_node_0,z_node_1,T_node_1,z_node_2,T_node_2,z_node_3,T_node_3,z_node_4,T_node_4,z_node_5,T_node_5,z_node_6,T_node_6,z_node_7,T_node_7,z_node_8,T_node_8,z_node_9,T_node_9,z_node_10,T_node_10,z_node_11,T_node_11,z_node_12,T_node_12,z_node_13,T_node_13,z_node_14,T_node_14,z_node_15,T_node_15,z_node_16,T_node_16,z_node_17,T_node_17,z_node_18,T_node_18,z_node_19,T_node_19,z_node_20,T_node_20,z_node_21,T_node_21,z_node_22,T_node_22,z_node_23,T_node_23,z_node_24,T_node_24,z_node_25,T_node_25,z_node_26,T_node_26,z_node_27,T_node_27,z_node_28,T_node_28,z_node_29,T_node_29,z_node_30,T_node_30,z_node_31,T_node_31,z_node_32,T_node_32,z_node_33,T_node_33,z_node_34,T_node_34,z_node_35,T_node_35,z_node_36,T_node_36,z_node_37,T_node_37,z_node_38,T_node_38,z_node_39,T_node_39,z_node_40,T_node_40,z_node_41,T_node_41,z_node_42,T_node_42,z_node_43,T_node_43,z_node_44,T_node_44,z_node_45,T_node_45,z_node_46,T_node_46,z_node_47,T_node_47,z_node_48,T_node_48
24,26729999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.69200000000019,48.24765957416789,16.64556746107394,96.49531914833578,18.599395414544688,170.59722895579677,21.45260719560193,244.69913876325774,24.308883675939676,315.1827967350372,26.879574341377552,385.6664547068166,29.45212397914299,453.34954869622163,31.805669334083756,521.0326426856267,34.16032232898622
25,26679999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.671999999999953,56.566221569714074,16.954276816767948,113.13244313942815,19.236888987380354,186.70782628492583,22.051690607737427,260.28320943042354,24.86942458303097,330.36249625714095,27.41119455915352,400.4417830838583,29.954743369807762,467.8032027315387,32.285695614933225,535.1646223792192,34.61770369597712
26,26629999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.652000000000065,64.88478356526026,17.260675518984765,129.76956713052053,19.869762845721517,202.81842361405495,22.646642696638345,275.8672800975894,25.426326917379992,345.5421957792447,27.939494853686565,415.2171114609,30.45436384441285,482.25685676685583,32.76294179457043,549.2966020728117,35.07252516686139
27,26579999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.632000000000025,73.20334556080645,17.56479151920038,146.4066911216129,20.498070299283413,218.92902094318407,23.23750746021975,291.4513507647552,25.979625239746056,360.72189530134847,28.464504526572245,429.99243983794173,30.95100938728685,496.71051080217296,33.237428686750185,563.4285817664041,35.524804355133625
28,26529999.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.611999999999712,4.947653522345896,14.816016061355752,9.895307044691792,15.020035668640006,86.1149060156246,18.055801246221563,162.3345049865574,21.095284723924976,234.40669431985776,23.802760375321572,306.4788836531581,26.512499276737287,375.39680901629987,28.972515295051295,444.31473437944163,31.433908788536243,510.7480972730035,33.70040146942535,577.1814601665654,35.96769686501273
29,26479999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.591999999999947,13.193742726255723,15.134120007960854,26.387485452511445,15.676263922201528,102.08846544329069,18.67174817058135,177.78944543406993,21.67079414682255,249.46241839489454,24.348161957353756,321.13539135571915,27.027691888768363,389.73519885981636,29.464314119072835,458.3350063639136,31.902242581434066,524.5083053675097,34.150020532541284,590.6816043711058,36.39854851107425
30,26429999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.571999999999809,21.43983193016555,15.44981505595612,42.8796638603311,16.327689835418543,118.0620248709568,19.28331161732835,193.2443858815825,22.242348117316123,264.5181424699313,24.889863190476866,335.79189905828014,27.539451988846526,404.0735887033328,29.95285541217378,472.3552783483855,32.36750810816269,538.2685134620159,34.596707837902535,604.1817485756462,36.826618916936404
31,26379999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.55199999999989,29.685921134075375,15.763135474608237,59.37184226815075,16.974379024112768,134.0355842986229,19.890648491993787,208.69932632909504,22.810190645995235,279.5738665449681,25.428182137790873,350.4484067608411,28.048161993587296,418.41197854684935,30.438571006315136,486.37555033285753,32.83017441398563,552.028721556522,35.04095561412472,617.6818927801866,37.25241101447981
32,26329999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.531999999999883,37.932010337985204,16.074110812921916,75.86402067597041,17.61638774847709,150.009143726289,20.49380998642205,224.1542667766076,23.374367473261316,294.6295906200049,25.96316276637168,365.1049144634021,28.553863543371506,432.7503683903658,30.921501696698627,500.3958223173295,33.29028083437548,565.7889296510282,35.482802289017144,631.1820369847269,37.67596172457574
33,26279999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.512000000000015,46.17809954189504,16.382769410876634,92.35619908379007,18.253769935231166,165.98270315395513,21.092840532591463,239.60920722412015,23.934913390988374,309.6853146950416,26.4948346077325,379.7614221659631,29.056580823381466,447.08875823388223,31.40166853325628,514.4160943018014,33.74784522345143,579.5491377455344,35.92226372602882,644.6821811892673,38.097284873497046
34,26229999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.492000000000148,54.424188745804855,16.68913907492512,108.84837749160971,18.8865785258682,181.95626258162122,21.687783584645324,255.06414767163272,24.49186223817558,324.7410387700784,27.02322617514539,394.4179298685241,29.556336961349174,461.4271480773987,31.87909145059114,528.4363662862734,34.20288429145918,593.3093458400406,36.359354622401234,658.1823253938077,38.5163931277499
35,26179999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.472000000000314,62.67027794971469,16.99324714966439,125.34055589942938,19.51486561731934,197.92982200928734,22.2786819828467,270.5190881191453,25.04524747524111,339.7967628451152,27.548365711499994,409.0744375710851,30.05315492564355,475.7655379209152,32.35379027947356,542.4566382707453,34.65541470252039,607.0695539345468,36.79408966071275,671.6824695983481,38.93329917245909
36,26129999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.451999999999734,70.9163671536245,17.295120532972703,141.832734307249,20.138682489722182,213.9033814369534,22.865577986551198,285.9740285666578,25.595102221276196,354.85248692015193,28.070281233167787,423.73094527364606,30.547057574376364,490.1039277644317,32.82578480084476,556.4769102552174,35.10545313200079,620.829762029053,37.2264835685424,685.1826138028885,39.34801577182188
37,26079999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.43200000000007,3.267508624801233,14.566802002595677,6.535017249602466,14.701605503840408,82.19494424221426,17.71921075659903,157.85487123482605,20.74044610339776,229.45685326403498,23.434526532083776,301.05883529324393,26.13083337689144,369.57203285541345,28.58061075049539,438.0852304175829,31.03175687419498,504.1644094302721,33.29022202069357,570.2435884429613,35.54949584697375,634.3544661563415,37.65399559706539,698.4653438697218,39.75892020678978
38,26029999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.412000000000102,11.436280186804316,14.88219751723282,22.872560373608632,15.352412437888763,98.02225315782387,18.330573395196677,173.17194594203912,21.312212944645502,244.38019369023976,23.976778693374893,315.58844143844044,26.64346263755899,383.787311581012,29.070278974928286,451.98618172358346,31.498378125965964,517.8080288295982,33.73844357393875,583.629875935613,35.979247048383584,647.5259143328036,38.06865216933696,711.4219527299942,40.15842355043094
39,25979999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.392000000000184,19.605051748807394,15.195236645426844,39.21010349761479,15.99852163884545,113.84956207343349,18.93745168471552,188.48902064925218,21.87971701238815,259.30353411644455,24.514846736006472,330.1180475836369,27.152006904228212,398.00259030661044,29.555897113716465,465.887133029584,31.961012381592372,531.4516482289243,34.18271467355155,597.0161634282648,36.4051148583053,660.6973625092658,38.479483590552974,724.3785615902668,40.55418951111993
40,25929999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.371999999999671,27.773823310810478,15.505949640738242,55.547646621620956,16.639990791670115,129.6768709890431,19.540163388857774,203.80609535646522,22.4435334692474,274.2268745426493,25.049529192479138,344.64765372883335,27.657472109354728,412.21786903220897,30.0386410250129,479.7880843355846,32.42098122802917,545.0952676282507,34.62446689202574,610.4024509209166,36.82861389256077,673.868810685728,38.88805630558134,737.3351704505394,40.947810010754814
41,25879999.999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.35200000000015,35.942594872813565,15.814367353030876,71.88518974562713,17.27687885400328,145.50417990465272,20.138784123066245,219.1231700636783,23.003753586667273,289.150214968854,25.58093324737676,359.1772598740298,28.159979428669246,426.43314775780743,30.518644288840978,493.6890356415851,32.87842830932134,558.7388870275768,35.06385181428241,623.7887384135684,37.24990123605344,687.0402588621902,39.294530782752986,750.291779310812,41.33944655689433
