well,sample_id,depth_top,depth_bottom,depth,aft_age,aft_age_min_95ci,aft_age_plus_95ci,Dpar
KDK-01,KDK01-2,755,774,764.5,359.4586791992,-188.4877929688,384.6363220215,
KDK-01,KDK01-2,755,774,764.5,212.1118774414,-136.6491699219,373.1109619141,
KDK-01,KDK01-2,755,774,764.5,491.2909851074,-233.9924163818,432.0854187012,
KDK-01,KDK01-2,755,774,764.5,241.851852417,-227.3500061035,2982.3552246094,
KDK-01,KDK01-2,755,774,764.5,269.7176818848,-131.8809661865,253.0504455566,
KDK-01,KDK01-2,755,774,764.5,346.496673584,-200.2195739746,457.7024536133,
KDK-01,KDK01-2,755,774,764.5,241.851852417,-208.740020752,1368.6861572266,
KDK-01,KDK01-2,755,774,764.5,699.9306640625,-401.3715820313,878.7852172852,
KDK-01,KDK01-2,755,774,764.5,294.3865661621,-108.7981719971,170.32081604,
KDK-01,KDK01-2,755,774,764.5,404.1269226074,-202.8531799316,395.0135803223,
KDK-01,KDK01-2,755,774,764.5,162.2383422852,-105.7324905396,296.6564941406,
KDK-01,KDK01-2,755,774,764.5,207.8520812988,-139.3690338135,409.7230529785,
KDK-01,KDK01-2,755,774,764.5,319.1464538574,-97.8316040039,139.5651092529,
KDK-01,KDK01-2,755,774,764.5,699.9306640625,-384.6975097656,802.5411987305,
KDK-01,KDK01-2,755,774,764.5,417.4672546387,-194.3179168701,353.7066040039,
KDK-01,KDK01-2,755,774,764.5,293.2490539551,-127.2936019897,221.1138305664,
KDK-01,KDK01-2,755,774,764.5,0,0,699.9306640625,
KDK-01,KDK01-3,1226,1259,1242.5,627.2714233398,-260.6718139648,431.4090881348,
KDK-01,KDK01-3,1226,1259,1242.5,250.5218963623,-201.095703125,946.392578125,
KDK-01,KDK01-3,1226,1259,1242.5,491.6725463867,-402.3905029297,1905.3751220703,
KDK-01,KDK01-3,1226,1259,1242.5,678.3023681641,-236.3009185791,352.9104309082,
