strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
NLLFL,NDW-01,1526.0,1531.0,1.0,5.0,59.0,58.8,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.424,0.000597,3.1,900.0,1.25e-06,4.1487913855246505,7.1914101597779165,0.0,1526.0,1531.0,,,
~CKHM-NLLFL,,,,0.0,0.0,61.7,59.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
CKHM,NDW-01,1531.0,1583.0,1.0,52.0,65.5,61.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.49,0.00079,3.2,900.0,1.25e-06,44.55208486942401,84.69418365980104,0.0,1531.0,1583.0,,,
CKGR,NDW-01,1583.0,1603.0,1.0,20.0,70.0,65.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.49,0.00079,3.2,900.0,1.25e-06,17.215905217525904,33.33834172551906,0.0,1583.0,1603.0,,,
-ATAL_a_0,,,,-1.0,0.0,72.0856,70.0,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,
-ATAL_a_1,,,,-1.0,0.0,74.1712,72.0856,,,,,,,,,,,,,,,,,,,,,,,99.0,0.0,,0.0,,
-ATAL_a_2,,,,-1.0,0.0,76.2568,74.1712,,,,,,,,,,,,,,,,,,,,,,,99.0,0.0,,0.0,,
-ATAL_a_3,,,,-1.0,0.0,78.3424,76.2568,,,,,,,,,,,,,,,,,,,,,,,99.0,0.0,,0.0,,
-ATAL_a_4,,,,-1.0,0.0,80.428,78.3424,,,,,,,,,,,,,,,,,,,,,,,99.0,0.0,,0.0,,
-ATPO_a_0,,,,-1.0,0.0,82.53466666666667,80.428,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-ATWD_a_0,,,,-1.0,0.0,84.16733333333333,82.53466666666667,,,,,,,,,,,,,,,,,,,,,,,77.5,0.0,,0.0,,
-ATWD_a_1,,,,-1.0,0.0,85.8,84.16733333333333,,,,,,,,,,,,,,,,,,,,,,,77.5,0.0,,0.0,,
~+ATWD_a_1--ATWD_a_1,,,,0.0,0.0,167.7,85.8,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
+ATWD_a_1,,,,1.0,0.0,172.85,167.7,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.51,0.0006979999999999999,2.9000000000000004,900.0,1.2500000000000003e-06,39.025033539662836,0.0,77.5,0.0,77.5,0.0,77.5,77.5
+ATWD_a_0,,,,1.0,0.0,178.0,172.85,0.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.51,0.0006979999999999999,2.9000000000000004,900.0,1.2500000000000003e-06,41.051044294169856,0.0,77.5,77.5,155.0,77.5,155.0,77.5
+ATPO_a_0,,,,1.0,0.0,183.0,178.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,49.26016301599978,0.0,100.0,155.0,255.0,155.0,255.0,100.0
+ATAL_a_4,,,,1.0,0.0,186.2868,183.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,53.07065257563441,0.0,99.0,255.0,354.0,255.0,354.0,99.0
+ATAL_a_3,,,,1.0,0.0,189.5736,186.2868,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,56.98594142759053,0.0,99.0,354.0,453.0,354.0,453.0,99.0
+ATAL_a_2,,,,1.0,0.0,192.8604,189.5736,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,428.0,300.0,1.0,2650.0,0.61,0.0009,2.5,900.0,1.25e-06,60.56746793250928,0.0,99.0,453.0,552.0,453.0,552.0,99.0
