,well,sample_id,sample_type,data_source,x_UTMED50,y_UTMED50,depth_top_AH,depth_bottom_AH,depth_top_TVD,depth_bottom_TVD,stratigraphy_code,stratigraphy,lithology,vitrinite_parameter,value_main,N_main,value_pop2,N_pop2,value_pop3,N_pop3,value_pop4,N_pop4,value_mean,value_std,N_total
78,GVK-01,unknown,unknown,TNO-database,695370.0,5645498.0,1090.510009765625,1090.52001953125,1090.510009765625,1090.52001953125,,no_info,,Rr,2.0,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
79,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,748.75,748.75,748.75,748.75,,no_info,,Rr,0.93999999761581421,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
80,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,749.0,749.0,749.0,749.0,,no_info,,Rr,1.0,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
81,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,765.20001220703125,765.20001220703125,765.20001220703125,765.20001220703125,,no_info,,Rr,1.0299999713897705,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
82,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,775.9000244140625,775.9000244140625,775.9000244140625,775.9000244140625,,no_info,,Rr,1.059999942779541,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
83,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,777.0,777.0,777.0,777.0,,no_info,,Rr,1.059999942779541,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
84,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,785.20001220703125,785.20001220703125,785.20001220703125,785.20001220703125,,no_info,,Rr,1.0199999809265137,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
85,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,811.79998779296875,811.79998779296875,811.79998779296875,811.79998779296875,,no_info,,Rr,1.0700000524520874,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
86,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,817.0,817.0,817.0,817.0,,no_info,,Rr,0.97000002861022949,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
87,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,818.42999267578125,818.42999267578125,818.42999267578125,818.42999267578125,,no_info,,Rr,1.0499999523162842,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
88,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,847.6500244140625,847.6500244140625,847.6500244140625,847.6500244140625,,no_info,,Rr,1.0700000524520874,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
89,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,894.6500244140625,894.6500244140625,894.6500244140625,894.6500244140625,,no_info,,Rr,1.0399999618530273,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
90,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,978.40997314453125,978.40997314453125,978.40997314453125,978.40997314453125,,no_info,,Rr,1.1000000238418579,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
91,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1019.4500122070312,1019.4500122070312,1019.4500122070312,1019.4500122070312,,no_info,,Rr,1.2300000190734863,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
92,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1036.050048828125,1036.050048828125,1036.050048828125,1036.050048828125,,no_info,,Rr,1.25,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
