,type,code_group,code_fm,group_name,color,formation_name,system_period,epoch_bottom,epoch_top,stage_bottom,stage_top,age_bottom,age_top,notes,deposition_descr1,deposition_descr2,deposition_descr3,hydrogeology,thickness_mean,thickness_min,thickness_max,well_max_th,dominant_lithology,grain_size,congl,sand,silt,clay,shale,blackshale,lime,dolomite,carbonate,oolite,chalk,marl,anhydrite,halite,chert,tuff,volcanic,coal,organic,NP_zone_bottom,NP_zone_top,Foram_zone_bottom,Foram_zone_top,Litho_code_Rift2D,Filename_depth_base_deRooij,Filename_TNO2006
50,member,NM,NMRFC,Middle_North_Sea,orange,Rupel_Clay,Oligocene,,,,,34.799999237060547,30.5,,marine,unknown,,aquitard,0.0,0.0,0.0,0,clay,0.0,0.0,15.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,b_rupelclay,
51,member,NM,NMRFV,Middle_North_Sea,orange,Vessem,Oligocene,,,,,35.400001525878906,34.799999237060547,,marine,shallow,wave_base,aquifer,0.0,0.0,0.0,0,sand,0.0,0.0,60.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,b_vessem,
52,member,NL,NLFFB,Lower_North_Sea,brown,Asse,Eocene,,,,,42.0,40.0,,marine,shallow,open,aquitard,0.0,0.0,0.0,0,clays,0.0,0.0,30.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
53,member,NL,NLFFS,Lower_North_Sea,brown,Brussels_Sand,Eocene,,,,,50.200000762939453,42.0,ages_JDW_db,marine,shallow,,aquifer,0.0,0.0,0.0,0,sand,0.0,0.0,60.0,15.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
54,member,NL,NLFFM,Lower_North_Sea,brown,Brussels_Marl,Eocene,,,,,50.200000762939453,42.0,ages_JDW_db,marine,neritic,,aquitard,0.0,0.0,0.0,0,marl,0.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
55,member,NL,NLFFY,Lower_North_Sea,brown,Ieper__,Eocene,,,,,55.099998474121094,50.200000762939453,ages_JDW_db,marine,open,,aquitard,0.0,0.0,0.0,0,clay,0.0,0.0,10.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,b_ieperclay,
56,member,NL,NLFFD,Lower_North_Sea,brown,Basal_Dongen_Sand,Eocene,,,,,55.400001525878906,55.099998474121094,ages_JDW_db,marine,shallow,wave_base,aquifer,0.0,0.0,0.0,0,sand,0.0,0.0,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,b_dongensand,
57,member,NL,NLFFC,Lower_North_Sea,brown,Dongen_Clay,Paleocene,Eocene,Eocene,Ypresian,Lutetian,55.099998474121094,37.900001525878906,lumped_Ieper_BrusselMarl_Asse,marine,,,aquitard,0.0,0.0,0.0,0,clay,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NP10,NP15,,,0,,
58,member,NL,NLLFR,Lower_North_Sea,brown,Reusel,Paleocene,,,,,57.799999237060547,56.0,ages_JDW_db,marine,,,aquifer,0.0,0.0,0.0,0,silt,0.0,0.0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,
59,member,NL,NLLFC,Lower_North_Sea,brown,Landen_Clay,Paleocene,Paleocene,Paleocene,Selandian,Selandian,58.0,57.799999237060547,ages_JDW_db,marine,,,aquitard,0.0,0.0,0.0,0,clay,0.0,0.0,10.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NP6,NP9,,,0,b_lander,
